数据分类,指标名称,指标代码,单位,频率,数据日期,数值,同比(%),年初至今(%),备注,数据来源
全国大盘,全国酒店OCC,,%,周,2019-10-13T00:00:00Z,56.3,,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2019-10-13T00:00:00Z,192.83,,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2019-10-13T00:00:00Z,108.5633,,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2019-10-20T00:00:00Z,65.63,,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2019-10-20T00:00:00Z,205.13,,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2019-10-20T00:00:00Z,134.6268,,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2019-10-27T00:00:00Z,64.14,,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2019-10-27T00:00:00Z,202.28,,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2019-10-27T00:00:00Z,129.7424,,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2019-11-03T00:00:00Z,60.68,,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2019-11-03T00:00:00Z,198.11,,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2019-11-03T00:00:00Z,120.2131,,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2019-11-10T00:00:00Z,60.51,,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2019-11-10T00:00:00Z,197.09,,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2019-11-10T00:00:00Z,119.2592,,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2019-11-17T00:00:00Z,61.19,,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2019-11-17T00:00:00Z,195.66,,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2019-11-17T00:00:00Z,119.7244,,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2019-11-24T00:00:00Z,61,,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2019-11-24T00:00:00Z,194.03,,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2019-11-24T00:00:00Z,118.3583,,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2019-12-01T00:00:00Z,59.91,,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2019-12-01T00:00:00Z,189.65,,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2019-12-01T00:00:00Z,113.6193,,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2019-12-08T00:00:00Z,59.17,,,,酒店之家(STR)
