period_id,year,week,start_date,end_date,region,room_band,hotel_count,room_count,chain_hotel_count,chain_room_count,source
2023W14,2023,14,2023-03-27,2023-04-02,全国,150间及以上,14547,3503921,5836,1444962,酒店之家
2023W15,2023,15,2023-04-03,2023-04-09,全国,全部,497916,18005623,49484,4696904,酒店之家
2023W15,2023,15,2023-04-03,2023-04-09,全国,15间以下,176400,1207246,1208,11189,酒店之家
2023W15,2023,15,2023-04-03,2023-04-09,全国,15-29间,133257,2719220,2521,56725,酒店之家
2023W15,2023,15,2023-04-03,2023-04-09,全国,30-69间,117846,5170844,15690,789244,酒店之家
2023W15,2023,15,2023-04-03,2023-04-09,全国,70-149间,55856,5403557,24228,2394251,酒店之家
2023W15,2023,15,2023-04-03,2023-04-09,全国,150间及以上,14557,3504756,5837,1445495,酒店之家
2023W16,2023,16,2023-04-10,2023-04-16,全国,全部,497636,18065393,49621,4702391,酒店之家
2023W16,2023,16,2023-04-10,2023-04-16,全国,15间以下,174403,1210692,1214,11247,酒店之家
2023W16,2023,16,2023-04-10,2023-04-16,全国,15-29间,134354,2741699,2554,57425,酒店之家
2023W16,2023,16,2023-04-10,2023-04-16,全国,30-69间,118408,5194205,15756,792459,酒店之家
2023W16,2023,16,2023-04-10,2023-04-16,全国,70-149间,55877,5405680,24264,2397316,酒店之家
2023W16,2023,16,2023-04-10,2023-04-16,全国,150间及以上,14594,3513117,5833,1443944,酒店之家
2023W17,2023,17,2023-04-17,2023-04-23,全国,全部,499572,18150232,49965,4736049,酒店之家
2023W17,2023,17,2023-04-17,2023-04-23,全国,15间以下,174315,1220584,1233,11388,酒店之家
2023W17,2023,17,2023-04-17,2023-04-23,全国,15-29间,135505,2764759,2593,58358,酒店之家
2023W17,2023,17,2023-04-17,2023-04-23,全国,30-69间,119032,5218882,15895,799003,酒店之家
2023W17,2023,17,2023-04-17,2023-04-23,全国,70-149间,56092,5424950,24349,2404646,酒店之家
2023W17,2023,17,2023-04-17,2023-04-23,全国,150间及以上,14628,3521057,5895,1462654,酒店之家
2023W18,2023,18,2023-04-24,2023-04-30,全国,全部,502343,18254631,50054,4740346,酒店之家
2023W18,2023,18,2023-04-24,2023-04-30,全国,15间以下,174804,1234523,1249,11512,酒店之家
2023W18,2023,18,2023-04-24,2023-04-30,全国,15-29间,136854,2791765,2557,57596,酒店之家
2023W18,2023,18,2023-04-24,2023-04-30,全国,30-69间,119626,5245972,15880,799260,酒店之家
2023W18,2023,18,2023-04-24,2023-04-30,全国,70-149间,56386,5451562,24495,2419000,酒店之家
2023W18,2023,18,2023-04-24,2023-04-30,全国,150间及以上,14673,3530809,5873,1452978,酒店之家
2023W19,2023,19,2023-05-01,2023-05-07,全国,全部,503662,18279313,50083,4738425,酒店之家
2023W19,2023,19,2023-05-01,2023-05-07,全国,15间以下,175295,1240231,1248,11498,酒店之家
2023W19,2023,19,2023-05-01,2023-05-07,全国,15-29间,137297,2800517,2567,57843,酒店之家
2023W19,2023,19,2023-05-01,2023-05-07,全国,30-69间,120002,5261736,15922,801115,酒店之家
2023W19,2023,19,2023-05-01,2023-05-07,全国,70-149间,56413,5453378,24488,2418521,酒店之家
2023W19,2023,19,2023-05-01,2023-05-07,全国,150间及以上,14655,3523451,5858,1449448,酒店之家
2023W20,2023,20,2023-05-08,2023-05-14,全国,全部,506459,18370021,50180,4744850,酒店之家
2023W20,2023,20,2023-05-08,2023-05-14,全国,15间以下,175843,1253212,1256,11554,酒店之家
2023W20,2023,20,2023-05-08,2023-05-14,全国,15-29间,138659,2827564,2578,58126,酒店之家
2023W20,2023,20,2023-05-08,2023-05-14,全国,30-69间,120651,5287006,15947,802653,酒店之家
2023W20,2023,20,2023-05-08,2023-05-14,全国,70-149间,56620,5472290,24547,2424247,酒店之家
2023W20,2023,20,2023-05-08,2023-05-14,全国,150间及以上,14686,3529949,5852,1448270,酒店之家
2023W21,2023,21,2023-05-15,2023-05-21,全国,全部,507745,18407367,50264,4749166,酒店之家
2023W21,2023,21,2023-05-15,2023-05-21,全国,15间以下,176011,1261194,1269,11684,酒店之家
2023W21,2023,21,2023-05-15,2023-05-21,全国,15-29间,139397,2842377,2589,58395,酒店之家
2023W21,2023,21,2023-05-15,2023-05-21,全国,30-69间,121050,5303089,15987,804340,酒店之家
2023W21,2023,21,2023-05-15,2023-05-21,全国,70-149间,56598,5469726,24564,2426124,酒店之家
2023W21,2023,21,2023-05-15,2023-05-21,全国,150间及以上,14689,3530981,5855,1448623,酒店之家
2023W22,2023,22,2023-05-22,2023-05-28,全国,全部,504767,18401838,50336,4753834,酒店之家
2023W22,2023,22,2023-05-22,2023-05-28,全国,15间以下,173053,1258799,1275,11725,酒店之家
2023W22,2023,22,2023-05-22,2023-05-28,全国,15-29间,139417,2843185,2607,58809,酒店之家
2023W22,2023,22,2023-05-22,2023-05-28,全国,30-69间,121022,5302943,16007,805222,酒店之家
2023W22,2023,22,2023-05-22,2023-05-28,全国,70-149间,56618,5471332,24594,2429103,酒店之家
2023W22,2023,22,2023-05-22,2023-05-28,全国,150间及以上,14657,3525579,5853,1448975,酒店之家
2023W23,2023,23,2023-05-29,2023-06-04,全国,全部,518068,18451073,50410,4759094,酒店之家
2023W23,2023,23,2023-05-29,2023-06-04,全国,15间以下,185564,1293040,1289,11819,酒店之家
