period_id,year,week,start_date,end_date,region,segment,hotel_count,room_count,hotel_count_15plus,room_count_15plus,occupancy_rate,adr,revpar,source
2017W40,2017,40,2017-09-25,2017-10-01,全国,豪华型,,,,,,758.03,,酒店之家
2017W41,2017,41,2017-10-02,2017-10-08,全国,全部,,,,,,306.29,,酒店之家
2017W41,2017,41,2017-10-02,2017-10-08,全国,经济型,,,,,,214.35,,酒店之家
2017W41,2017,41,2017-10-02,2017-10-08,全国,中档型,,,,,,325.6,,酒店之家
2017W41,2017,41,2017-10-02,2017-10-08,全国,高档型,,,,,,452.1,,酒店之家
2017W41,2017,41,2017-10-02,2017-10-08,全国,豪华型,,,,,,863.22,,酒店之家
2017W42,2017,42,2017-10-09,2017-10-15,全国,全部,,,,,,225.38,,酒店之家
2017W42,2017,42,2017-10-09,2017-10-15,全国,经济型,,,,,,149.14,,酒店之家
2017W42,2017,42,2017-10-09,2017-10-15,全国,中档型,,,,,,241.15,,酒店之家
2017W42,2017,42,2017-10-09,2017-10-15,全国,高档型,,,,,,375.67,,酒店之家
2017W42,2017,42,2017-10-09,2017-10-15,全国,豪华型,,,,,,731.09,,酒店之家
2017W43,2017,43,2017-10-16,2017-10-22,全国,全部,,,,,,228.61,,酒店之家
2017W43,2017,43,2017-10-16,2017-10-22,全国,经济型,,,,,,150.19,,酒店之家
2017W43,2017,43,2017-10-16,2017-10-22,全国,中档型,,,,,,244.06,,酒店之家
2017W43,2017,43,2017-10-16,2017-10-22,全国,高档型,,,,,,383.33,,酒店之家
2017W43,2017,43,2017-10-16,2017-10-22,全国,豪华型,,,,,,741.67,,酒店之家
2017W44,2017,44,2017-10-23,2017-10-29,全国,全部,,,,,,228.55,,酒店之家
2017W44,2017,44,2017-10-23,2017-10-29,全国,经济型,,,,,,149.76,,酒店之家
2017W44,2017,44,2017-10-23,2017-10-29,全国,中档型,,,,,,245.18,,酒店之家
2017W44,2017,44,2017-10-23,2017-10-29,全国,高档型,,,,,,384.76,,酒店之家
